date,rate,prestart time,total time,bytes
2018-07-03T20:17:00,49537,0.10812,232.881168,11536384
2018-07-03T20:21:53,166974,1.085988,69.09051,11536384
2018-07-03T20:24:02,155154,0.102074,74.353956,11536384
2018-07-03T21:17:00,32677,0.108677,353.034959,11536384
2018-07-03T21:23:53,6100108,0.054976,1.891177,11536384
2018-07-03T21:24:55,5487754,0.06556,2.102205,11536384
2018-07-03T22:17:00,4505704,0.22397,2.560395,11536384
2018-07-03T22:18:03,4757458,0.075461,2.424905,11536384
2018-07-03T22:19:06,6141702,0.064043,1.878369,11536384
2018-07-03T23:17:00,25157,0.078413,458.571137,11536384
2018-07-03T23:25:39,23312,0.07738,494.848818,11536384
2018-07-03T23:34:54,68193,0.070988,169.171223,11536384
2018-07-04T00:17:00,6245741,0.056372,1.84708,11536384
2018-07-04T00:18:02,6190153,0.063724,1.863667,11536384
2018-07-04T00:19:04,6223496,0.082418,1.853682,11536384
2018-07-04T01:17:00,520834,1.070883,22.149799,11536384
2018-07-04T01:18:23,6105528,0.066854,1.889498,11536384
2018-07-04T01:19:25,6256098,0.056331,1.844022,11536384
2018-07-04T02:17:00,6310158,0.064346,1.828224,11536384
2018-07-04T02:18:02,6085637,0.073891,1.895674,11536384
2018-07-04T02:19:04,6192346,0.073183,1.863007,11536384
2018-07-04T03:17:00,5071972,0.077477,2.274536,11536384
2018-07-04T03:18:02,6232281,0.083972,1.851069,11536384
2018-07-04T03:19:04,823228,0.137521,14.013579,11536384
2018-07-04T04:17:00,46433,0.073444,248.449615,11536384
2018-07-04T04:22:08,41546,0.101417,277.67233,11536384
2018-07-04T04:27:46,138334,0.063874,83.394833,11536384
2018-07-04T05:17:00,57325,1.096528,201.244312,11536384
2018-07-04T05:21:22,53834,0.099587,214.292984,11536384
2018-07-04T05:25:56,59897,0.079798,192.602501,11536384
2018-07-04T06:17:00,6440898,0.073461,1.791114,11536384
2018-07-04T06:18:02,56008,0.071675,205.976736,11536384
2018-07-04T06:22:28,5181328,0.060677,2.22653,11536384
2018-07-04T07:17:00,6122172,0.075468,1.884361,11536384
2018-07-04T07:18:02,6185290,0.064849,1.865132,11536384
2018-07-04T07:19:04,6236968,0.055485,1.849678,11536384
2018-07-04T08:17:00,88166,1.105083,130.847463,11536384
2018-07-04T08:20:11,1055265,0.119876,10.93221,11536384
2018-07-04T08:21:22,340325,0.130788,33.898094,11536384
2018-07-04T09:17:00,6341784,0.063769,1.819107,11536384
2018-07-04T09:18:02,6579057,0.054127,1.753501,11536384
2018-07-04T09:19:04,6393619,0.049927,1.804359,11536384
2018-07-04T10:17:00,6424821,0.044281,1.795596,11536384
2018-07-04T10:18:02,6191874,0.050288,1.863149,11536384
2018-07-04T10:19:04,6285617,0.06506,1.835362,11536384
2018-07-04T11:17:00,6387724,0.153651,1.806024,11536384
2018-07-04T11:18:02,6583769,0.059659,1.752246,11536384
2018-07-04T11:19:04,6461910,0.047324,1.78529,11536384
2018-07-04T12:17:00,4021910,0.078195,2.868384,11536384
2018-07-04T12:18:03,6044995,0.056307,1.908419,11536384
2018-07-04T12:19:05,6334934,0.068467,1.821074,11536384
2018-07-04T13:17:00,4626712,0.107372,2.49343,11536384
2018-07-04T13:18:03,6123664,0.077702,1.883902,11536384
2018-07-04T13:19:05,6366183,0.054969,1.812135,11536384
2018-07-04T14:17:00,4853096,0.077902,2.377118,11536384
2018-07-04T14:18:03,6271178,0.049119,1.839588,11536384
2018-07-04T14:19:05,6165667,0.063267,1.871068,11536384
2018-07-04T15:17:00,6325538,0.072677,1.823779,11536384
2018-07-04T15:18:02,6339926,0.064916,1.81964,11536384
2018-07-04T15:19:04,6431049,0.055278,1.793857,11536384
2018-07-04T16:17:00,6375735,0.093697,1.80942,11536384
2018-07-04T16:18:02,6555352,0.057998,1.759842,11536384
2018-07-04T16:19:03,6285193,0.058099,1.835486,11536384
2018-07-04T17:17:00,6345607,0.059078,1.818011,11536384
2018-07-04T17:18:02,6382109,0.051822,1.807613,11536384
2018-07-04T17:19:04,6521839,0.054549,1.768885,11536384
2018-07-04T18:17:00,4247462,0.141917,2.716065,11536384
2018-07-04T18:18:03,4978409,0.078585,2.317283,11536384
2018-07-04T18:19:06,6040472,0.076515,1.909848,11536384
2018-07-04T19:17:00,275293,0.051335,41.905753,11536384
2018-07-04T19:18:42,194439,0.090893,59.331508,11536384
2018-07-04T19:20:42,168596,0.080231,68.426049,11536384
2018-07-04T20:17:00,37487,0.092222,161.065732,6037963
2018-07-04T20:20:41,40672,0.104352,283.638596,11536384
2018-07-04T20:26:25,42394,0.093147,272.120851,11536384
2018-07-04T21:17:00,32504,1.085512,354.918133,11536384
2018-07-04T21:23:55,12460,1.388059,925.804101,11536384
2018-07-04T21:40:21,18820,0.093328,612.961659,11536384
2018-07-04T22:17:00,122446,0.104983,94.21582,11536384
2018-07-04T22:19:35,113899,0.208777,101.285264,11536384
2018-07-04T22:22:16,2777549,0.081041,4.153439,11536384
2018-07-04T23:17:01,1245174,0.096853,9.26487,11536384
2018-07-04T23:18:10,209389,1.276377,55.095201,11536384
2018-07-04T23:20:05,2702227,0.087288,4.269213,11536384
2018-07-05T00:17:00,279871,0.088564,41.22023,11536384
2018-07-05T00:18:42,272664,0.056861,42.309803,11536384
2018-07-05T00:20:24,188066,0.052768,61.342207,11536384
2018-07-05T01:17:01,455450,0.057058,25.329592,11536384
2018-07-05T01:18:26,447885,0.08985,25.757427,11536384
2018-07-05T01:19:52,373044,0.052092,30.924981,11536384
2018-07-05T02:17:00,543107,0.146361,21.241431,11536384
2018-07-05T02:18:22,503849,0.05489,22.896506,11536384
2018-07-05T02:19:45,486519,0.061819,23.712074,11536384
2018-07-05T03:17:00,716523,0.06089,16.100505,11536384
2018-07-05T03:18:16,857481,0.107514,13.453795,11536384
2018-07-05T03:19:30,645694,0.048804,17.866635,11536384
2018-07-05T04:17:00,981973,0.09125,11.748166,11536384
2018-07-05T04:18:12,702229,0.074725,16.428233,11536384
2018-07-05T04:19:28,741012,0.053385,15.568415,11536384
2018-07-05T05:17:00,424745,0.100109,27.160695,11536384
2018-07-05T05:18:28,411788,0.088925,28.015284,11536384
2018-07-05T05:19:56,386924,0.105296,29.815617,11536384
2018-07-05T06:17:00,450363,0.062487,25.615715,11536384
2018-07-05T06:18:26,470761,0.074577,24.505785,11536384
2018-07-05T06:19:50,316242,0.05552,36.479586,11536384
2018-07-05T07:17:00,263619,0.143605,43.761554,11536384
2018-07-05T07:18:44,230060,0.078213,50.144999,11536384
2018-07-05T07:20:34,142314,0.086895,81.062361,11536384
2018-07-05T08:17:00,185136,0.052812,62.312755,11536384
2018-07-05T08:19:02,179092,0.064457,64.415895,11536384
2018-07-05T08:21:07,132778,0.074064,86.884602,11536384
2018-07-05T09:17:00,3654192,0.083262,3.157027,11536384
2018-07-05T09:18:03,3610335,0.050944,3.195377,11536384
2018-07-05T09:19:07,3733588,0.049536,3.089892,11536384
2018-07-05T10:17:01,222586,0.11864,51.828695,11536384
2018-07-05T10:18:53,216106,0.052836,53.382753,11536384
2018-07-05T10:20:46,154054,0.100108,74.885111,11536384
2018-07-05T11:17:00,3706986,0.053258,3.112065,11536384
2018-07-05T11:18:03,1071181,3.099391,10.769773,11536384
2018-07-05T11:19:14,3590469,0.061024,3.213057,11536384
2018-07-05T12:17:00,262508,0.074018,43.946788,11536384
2018-07-05T12:18:44,354831,0.060968,32.512261,11536384
2018-07-05T12:20:17,469590,0.084106,24.566883,11536384
2018-07-05T13:17:00,114678,0.078564,100.597368,11536384
2018-07-05T13:19:40,189603,0.04958,60.844922,11536384
2018-07-05T13:21:41,76902,0.239715,150.012618,11536384
2018-07-05T14:17:01,350301,0.056917,32.93277,11536384
2018-07-05T14:18:34,37258,0.101676,309.633326,11536384
2018-07-05T14:24:43,58613,0.138219,196.820549,11536384
2018-07-05T15:17:01,219653,0.105694,52.520927,11536384
2018-07-05T15:18:53,288238,0.069535,40.023809,11536384
2018-07-05T15:20:33,508993,0.091311,22.665097,11536384
2018-07-05T16:17:00,1233285,0.082675,9.354189,11536384
