Event,Year,Type,Begin Date,End Date,Summary,CPI-Adjusted Estimated Cost (in Billions),Deaths,Event Short,Type Simple,Unique Event
Rockies/ Central Tornadoes and Severe Weather May 2016,2016,Severe Weather,2016-05-21,2016-05-26,"Sustained period of severe thunderstorms and tornadoes affecting several states including Montana, Colorado, Kansas, Missouri and Texas. The most concentrated days for tornado development were on May 22 and 24. Additional damage was created by straight-line high wind and hail damage.",$1.2,0,Severe Weather 2016,Other,Severe Weather 2016 3
Plains Tornadoes and Central Severe Weather May 2016,2016,Severe Weather,2016-05-08,2016-05-11,"Tornadoes and severe storms cause widespread damage across the Plains and Central states (NE, MO, TX, OK, KS, CO, IL, KY, TN) over a multi-day period. The damage from tornadoes and high wind was most costly in Nebraska and Missouri.",$1.8,2,Severe Weather 2016,Other,Severe Weather 2016
South/ Southeast Tornadoes April 2016,2016,Tornadoes,2016-04-26,2016-05-02,Large outbreak of tornadoes affects numerous states across the South and Southeast. Additional damage also from large hail and straight-line wind during the multi-day thunderstorm event.,$2.5,6,Tornadoes 2016,Other,Tornadoes 2016
Houston Flooding April 2016,2016,Flooding,2016-04-17,2016-04-18,"A period of extreme rainfall up to 17 inches created widespread urban flooding in Houston and surrounding suburbs. Thousands of homes and businesses were damaged and more than 1,800 high water rescues were conducted. This represents the most widespread flooding event to affect Houston since Tropical Storm Allison in 2001.",$2.8,8,Flooding 2016,Other,Flooding 2016 2
North/ Central Texas Hail Storm April 2016,2016,Hail Storm,2016-04-10,2016-04-12,"Widespread severe hail damage across north and central Texas including the cities of Plano, Wylie, Frisco, Allen and San Antonio. The damage in San Antonio was particularly severe as the National Weather Service verified reports of hail size reaching 4.5 inches in diameter. This ranks as one of the most costly hail events to affect the United States.",$3.6,0,Hail Storm 2016,Other,Hail Storm 2016
North Texas Hail Storm March 2016,2016,Hail Storm,2016-03-23,2016-03-24,"Large hail and strong winds caused considerable damage in heavily populated areas of north Texas. This damage was most notable in the cities of Dallas, Fort Worth and Plano.",$2.1,0,Hail Storm 2016,Other,Hail Storm 2016 2
Southern Severe Weather March 2016,2016,Severe Weather,2016-03-17,2016-03-18,"Severe hail impacts the Fort Worth and Arlington metro region in Texas. Additional large hail and high wind damage occurred in other locations of Texas, Louisiana and Mississippi.",$1.2,1,Severe Weather 2016,Other,Severe Weather 2016 4
Texas and Louisiana Flooding March 2016,2016,Flooding,2016-03-08,2016-03-12,"Multiple days of heavy rainfall averaging 15 to 20 inches led to widespread flooding along the Sabine River basin on the Texas and Louisiana border. This prompted numerous evacuations, high-water rescues and destruction, as more than 1,000 homes and businesses were damaged or destroyed.",$2.4,5,Flooding 2016,Other,Flooding 2016 3
Southeast and Eastern Tornadoes February 2016,2016,Tornadoes,2016-02-22,2016-02-24,"Early outbreak of tornadoes and severe weather across many southern and eastern states including (AL, CT, FL, GA, LA, MA, MD, MS, NC, NJ, NY, PA, SC, TX, VA). There were at least 50 confirmed tornadoes causing widespread damage.",$1.1,10,Tornadoes 2016,Other,Tornadoes 2016 2
Western Drought 2015,2015,Drought,2015-01-01,2015-12-31,"Drought conditions were present across numerous western states (CA, NV, OR, WA, ID, MT, UT, AZ) with the most severe conditions continuing to plague California for all of 2015. The agriculture sector was again impacted by a lack of rainfall resulting in hundreds of thousands of acres of farmland remaining fallow and requiring excess groundwater pumping to irrigate existing agriculture interests. Wildfire conditions were further enhanced by the ongoing drought. California experienced extensive damage from both drought and wildfire impacts. Drought conditions did improve dramatically across Texas and Oklahoma, in the form of several major flood events.",$4.7,0,Drought 2015,Other,Drought 2015
