Event,Year,Type,Begin Date,End Date,Summary,CPI-Adjusted Estimated Cost (in Billions),Deaths,Event Short,Type Simple,Unique Event
"Midwest/ Southeast Tornadoes May 22-27, 2011",2011,Tornadoes,2011-05-22,2011-05-27,"Outbreak of tornadoes over central and southern states (MO, TX, OK, KS, AR, GA, TN, VA, KY, IN, IL, OH, WI, MN, PA) with an estimated 180 tornadoes. Notably, an EF-5 tornado struck Joplin, MO resulting in at least 160 deaths, making it the deadliest single tornado to strike the U.S. since modern tornado record keeping began in 1950.",$10.1,177,Tornadoes 2011,Other,Tornadoes 2011 2
"Southeast/ Ohio Valley/ Midwest Tornadoes April 25-28, 2011",2011,Tornadoes,2011-04-25,2011-04-28,"Outbreak of tornadoes over central and southern states (AL, AR, LA, MS, GA, TN, VA, KY, IL, MO, OH, TX, OK) with an estimated 343 tornadoes. The deadliest tornado of the outbreak, an EF-5, hit northern Alabama, killing 78 people. Several major metropolitan areas were directly impacted by strong tornadoes including Tuscaloosa, Birmingham, and Huntsville in Alabama and Chattanooga, Tennessee, causing the estimated damage costs to soar.",$11.3,321,Tornadoes 2011,Other,Tornadoes 2011
Ohio Valley/ South Tornadoes April 2011,2011,Tornadoes,2011-04-19,2011-04-20,"Dozens of tornadoes and severe storms affect the states AR, IL, IN, KY, MO, OH, TN, TX across the Ohio Valley and South.",$1.2,0,Tornadoes 2011,Other,Tornadoes 2011 6
"Midwest/ Southeast Tornadoes April 14-16, 2011",2011,Tornadoes,2011-04-14,2011-04-16,"Outbreak of tornadoes over central and southern states (OK, TX, AR, MS, AL, GA, NC, SC, VA, PA) with an estimated 177 tornadoes.",$2.3,38,Tornadoes 2011,Other,Tornadoes 2011 5
"Southeast/ Midwest Tornadoes April 8-11, 2011",2011,Tornadoes,2011-04-08,2011-04-11,"Outbreak of tornadoes over central and southern states (NC, SC, TN, AL, TX, OK, KS, IA, WI) with an estimated 59 tornadoes.",$2.4,0,Tornadoes 2011,Other,Tornadoes 2011 4
"Midwest/ Southeast Tornadoes April 4-5, 2011",2011,Tornadoes,2011-04-04,2011-04-05,"Outbreak of tornadoes over central and southern states (KS, MO, IA, IL, WI, KY, GA, TN, NC, SC) with an estimated 46 tornadoes.",$3.1,9,Tornadoes 2011,Other,Tornadoes 2011 3
"Groundhog Day Blizzard February 1-3, 2011",2011,Winter Storm,2011-02-01,2011-02-03,"A large winter storm impacted many central, eastern and northeastern states. The city of Chicago was brought to a virtual standstill as between 1 and 2 feet of snow fell over the area.",$2.0,36,Winter Storm 2011,Other,Winter Storm 2011
Arizona Severe Weather October 2010,2010,Severe Weather,2010-10-05,2010-10-06,"An unusual series of severe thunderstorms across Arizona produced numerous tornadoes and widespread, severe hail damage. Over one-hundred buildings were damaged or destroyed by tornadoes while thousands of automobiles and buildings were damaged by large hail across Phoenix and surrounding cities.",$4.3,0,Severe Weather 2010,Other,Severe Weather 2010
Midwest/ Northeast Severe Storms and Flooding July 2010,2010,Flooding,2010-07-20,2010-07-23,"Severe storms and flooding affect the states IA, IL, MD, NY, PA, WI across the Midwest and Northeast.",$1.1,0,Flooding 2010,Other,Flooding 2010 3
"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather May 2010",2010,Severe Weather,2010-05-10,2010-05-12,"An outbreak of tornadoes, hail, and severe thunderstorms occurred across Oklahoma, Kansas, and Texas in mid-May. Oklahoma was hardest hit with > 1.5 (1.7) billion in damages.",$3.8,3,Severe Weather 2010,Other,Severe Weather 2010 2
East/ South Flooding and Severe Weather May 2010,2010,Flooding,2010-04-30,2010-05-02,"Flooding, hail, tornadoes, and severe thunderstorms occurred across many Southern states (TN, AR, AL, KY, MS, GA) on April 30-May 2. Flooding in the Nashville, TN area alone contributed > 1.0 (1.1) billion in damages. Western and Middle Tennessee were hardest hit with local rainfall amounts of 18-20 inches to the south and west of Greater Nashville.",$2.6,32,Flooding 2010,Other,Flooding 2010
Northeast Flooding March 2010,2010,Flooding,2010-03-01,2010-03-31,"Heavy rainfall over portions of the Northeast in late March caused extensive flooding across several states (RI, CT, MA, NJ, NY, PA). The event caused the worst flooding in Rhode Island's history.",$2.1,11,Flooding 2010,Other,Flooding 2010 2
Southwest/ Great Plains Drought 2009,2009,Drought,2009-01-01,2009-12-31,"Drought conditions occurred during much of the year across parts of the Southwest, Great Plains, and southern Texas causing agricultural losses in numerous states (TX, OK, KS, CA, NM, AZ). The largest agriculture losses occurred in TX and CA.",$4.1,0,Drought 2009,Other,Drought 2009
Western Wildfires Summer-Fall 2009,2009,Wildfires,2009-06-01,2009-11-30,"Residual and sustained drought conditions across western and south-central states resulted in thousands of wildfires. Most affected states include CA, AZ, NM, TX, OK, and UT. National acreage burned exceeding 5.9 million. Over 200 homes and structures destroyed in the California ""Station"" fire alone.",$1.2,10,Wildfires 2009,Other,Wildfires 2009
Colorado Hail Storm July 2009,2009,Hail Storm,2009-07-20,2009-07-20,"Severe hail impacts Colorado. Jefferson County was most affected with hail at least 8 inches deep. The hail damage from this storm was comparable to the July 11, 1990 Colorado hail storm.",$1.2,0,Hail Storm 2009,Other,Hail Storm 2009
"Midwest, South and East Severe Weather June 2009",2009,Severe Weather,2009-06-09,2009-06-12,"Sustained outbreak of thunderstorms and high winds from a strong derecho event over the central, southern, and eastern states (TX, OK, MO, NE, KS, AR, AL, MS, TN, NC, SC, KY, PA).",$1.5,0,Severe Weather 2009,Other,Severe Weather 2009 3
South/ Southeast Severe Weather & Tornadoes April 2009,2009,Severe Weather,2009-04-09,2009-04-10,"Outbreak of tornadoes, hail and severe thunderstorms over the south and southeastern states (AL, AR, GA, KY, MO, SC, TN) with 85 confirmed tornadoes.",$1.7,6,Severe Weather 2009,Other,Severe Weather 2009 2
Midwest/ Southeast Tornadoes March 2009,2009,Tornadoes,2009-03-25,2009-03-28,"Outbreak of tornadoes over central and southern states (NE, KS, OK, IA, TX, LA, MS, AL, GA, TN, KY) with 56 tornadoes confirmed.",$1.9,0,Tornadoes 2009,Other,Tornadoes 2009
Southeast/ Ohio Valley Severe Weather February 2009,2009,Severe Weather,2009-02-10,2009-02-11,"Complex of severe thunderstorms and high winds across the region (TN, KY, OK, OH, VA, WV, PA).",$2.0,10,Severe Weather 2009,Other,Severe Weather 2009
U.S. Drought 2008,2008,Drought,2008-01-01,2008-12-31,"Severe drought and heat caused agricultural losses across a large portion of the U.S. Record low lake levels also occurred in areas of the southeast. The states impacted include AL, AR, CA, CO, GA, ID, IN, KS, KY, MD, MN, MS, MT, NC, ND, NJ, NM, OH, OK, OR, SC, TN, TX, UT, VA, WA and WI.",$8.1,0,Drought 2008,Other,Drought 2008
U.S. Wildfires Fall 2008,2008,Wildfires,2008-09-01,2008-11-30,"Drought conditions across numerous western, central and southeastern states (AK, AZ, CA, NM, ID, UT, MT, NV, OR, WA, CO, TX, OK, NC, FL ) resulted in thousands of wildfires; national acreage burned exceeding 5.2 million acres (mainly in the west) and over 1,000 homes and structures destroyed in California fires alone.",$1.4,16,Wildfires 2008,Other,Wildfires 2008
Hurricane Ike September 2008,2008,Hurricane,2008-09-12,2008-09-14,"Category 2 hurricane makes landfall in Texas, as the largest (in size) Atlantic hurricane on record, causing considerable storm surge in coastal TX and significant wind and flooding damage in TX, LA, AR, TN, IL, IN, KY, MO, OH, MI and PA. Severe gasoline shortages occurred in the southeast U.S. due to damaged oil platforms, storage tanks, pipelines and off-line refineries.",$34.8,112,Ike 2008,Hurricane,Ike 2008
Hurricane Gustav September 2008,2008,Hurricane,2008-08-31,2008-09-03,"Category 2 hurricane makes landfall in Louisiana causing significant wind, storm surge, and flooding damage in AL, AR, LA, and MS.",$7.0,53,Gustav 2008,Hurricane,Gustav 2008
Hurricane Dolly July 2008,2008,Hurricane,2008-07-23,2008-07-25,Category 2 hurricane makes landfall in southern Texas causing considerable wind and flooding damage in TX and NM.,$1.5,3,Dolly 2008,Hurricane,Dolly 2008
Midwest Flooding Summer 2008,2008,Flooding,2008-04-01,2008-06-30,"Heavy rain and flooding caused significant agricultural loss and property damage in IA, IL, IN, MO, MN, NE, and WI with IA being hardest hit with widespread rainfall totals ranging from 4 to over 16 inches.",$11.6,24,Flooding 2008,Other,Flooding 2008
Midwest/ Mid-Atlantic Severe Weather June 2008,2008,Severe Weather,2008-06-06,2008-06-12,"An outbreak of tornadoes and thunderstorms over the Midwest/Mid-Atlantic states (IA, IL, IN, KS, NE, MI, MN, MO, OK, WI, MD, VA, WV).",$1.9,18,Severe Weather 2008,Other,Severe Weather 2008 2
Midwest Tornadoes and Severe Weather May 2008,2008,Severe Weather,2008-05-22,2008-05-27,"Outbreak of tornadoes over the Midwest/Ohio Valley regions (IL, IN, IA, KS, MN, NE, OK, WY, CO) with 235 tornadoes confirmed.",$3.5,13,Severe Weather 2008,Other,Severe Weather 2008
Southern Severe Weather April 2008,2008,Severe Weather,2008-04-09,2008-04-11,"Severe storms affect Arkansas, Oklahoma and Texas across the South.",$1.2,2,Severe Weather 2008,Other,Severe Weather 2008 4
Southeast Tornadoes March 2008,2008,Tornadoes,2008-03-14,2008-03-15,Tornadoes and severe weather across Georgia and South Carolina. This includes an EF-2 tornado causing damage to numerous buildings in downtown Atlanta.,$1.3,5,Tornadoes 2008,Other,Tornadoes 2008
Southeast Tornadoes and Severe Weather February 2008,2008,Severe Weather,2008-02-05,2008-02-06,"Series of tornadoes and severe thunderstorms across the Southeast and Midwest states (AL, AR, IN, KY, MS, OH, TN, TX) with 87 tornadoes confirmed.",$1.4,57,Severe Weather 2008,Other,Severe Weather 2008 3
Western/ Eastern Drought/ Heatwave Summer-Fall 2007,2007,Drought,2007-06-01,2007-11-30,"Severe drought with periods of extreme heat over most of the southeast and portions of the Great Plains, Ohio Valley, and Great Lakes area, resulting in major reductions in crop yields, along with very low stream-flows and lake levels. Includes states of ND, SD, NE, KS, OK, TX, MN, WI, IA, MO, AR, LA, MS, AL, GA, NC, SC, FL, TN, VA, WV, KY, IN, IL, OH, MI, PA, NY.",$4.3,15,Drought 2007,Other,Drought 2007
Western Wildfires Summer 2007,2007,Wildfires,2007-06-01,2007-08-31,"Continued drought conditions and high winds over much of the western U.S. (AK, AZ, CA, ID, UT, MT, NV, OR, WA) resulting in numerous wildfires; with national acreage burned exceeding 8.9 million acres (mainly in the west) and over 3,000 homes and structures destroyed in southern California alone.",$3.3,12,Wildfires 2007,Other,Wildfires 2007
East/ South Severe Weather and Flooding April 2007,2007,Flooding,2007-04-13,2007-04-17,"Flooding, hail, tornadoes, and severe thunderstorms across numerous states (CT, DE, GA, LA, ME, MD, MA, MS, NH, NJ, NY, NC, PA, RI, SC, TX, VT, VA) in mid-April, including 3 ""killer"" tornadoes.",$3.0,9,Flooding 2007,Other,Flooding 2007
Spring Freeze April 2007,2007,Freeze,2007-04-04,2007-04-10,"Widespread severe freeze over much of the east and midwest (AL, AR, GA, IA, IL, IN, KS, KY, MO, MS, NC, NE, OH, OK, SC, TN, VA, WV), causing significant losses in fruit crops, field crops (especially wheat), and the ornamental industry. Temperatures in the teens/20s accompanied by rather high winds nullified typical crop-protection systems.",$2.5,0,Freeze 2007,Other,Freeze 2007
California Freeze January 2007,2007,Freeze,2007-01-11,2007-01-17,"Widespread agricultural freeze -- for nearly two weeks in January, overnight temperatures over a good portion of California dipped into the 20s, destroying numerous agricultural crops; with citrus, berry, and vegetable crops most affected.",$1.7,1,Freeze 2007,Other,Freeze 2007 2
Numerous Wildfires 2006,2006,Wildfires,2006-01-01,2006-12-31,"Numerous wildfires driven by dry weather and high winds burned over 9.8 million acres, across the western half of the country including Alaska. This is the second highest annual total behind the 10.1 million acres burned in 2015 since record-keeping began in 1960. The most affected states were AK, AZ, CA, CO, FL, ID, MT, NM, NV, OK, OR, TX, WA, WY",$1.8,28,Wildfires 2006,Other,Wildfires 2006
Midwest/ Plains/ Southeast Drought Spring-Summer 2006,2006,Drought,2006-03-01,2006-08-31,"Rather severe drought affected crops especially during the spring-summer, centered over the Great Plains region with other areas affected across portions of the south -- including states of ND, SD, NE, KS, OK, TX, MN, IA, MO, AR, LA, MS, AL, GA, FL, MT, WY, CO, NM.",$7.4,0,Drought 2006,Other,Drought 2006
Northeast Flooding June 2006,2006,Flooding,2006-06-25,2006-06-28,"Severe flooding over portions of the northeast due to several weeks of heavy rainfall, affecting the states of NY, PA, DE, MD, NJ, and VA.",$1.9,20,Flooding 2006,Other,Flooding 2006
Midwest Tornadoes April 2006,2006,Tornadoes,2006-04-13,2006-04-16,"Tornadoes and severe weather cause significant damage in the states of IA, IL, IN, and WI. The state of Indiana was most affected with over one billion dollars in damage.",$3.0,27,Tornadoes 2006,Other,Tornadoes 2006
"Midwest/ Southeast Tornadoes April 6-8, 2006",2006,Tornadoes,2006-04-06,2006-04-08,"Severe weather and numerous tornadoes affecting the states of OK, KS, MO, NE, KY, OH, TN, IN, MS, GA, and AL on April 6-8 with 3 ""killer"" tornadoes in TN.",$2.0,10,Tornadoes 2006,Other,Tornadoes 2006 2
Severe Storms and Tornadoes March 2006,2006,Severe Weather,2006-03-08,2006-03-13,"Outbreak of tornadoes over portions of the midwest and south during a week-long period-affecting the states of AL, AR, KY, MS, TN, TX, IN, KS, MO, and OK.",$1.7,10,Severe Weather 2006,Other,Severe Weather 2006
Hurricane Wilma October 2005,2005,Hurricane,2005-10-24,2005-10-24,"Category 3 hurricane hits SW Florida resulting in strong damaging winds and major flooding across southeastern Florida. Prior to landfall, Wilma as a Category 5 recorded the lowest pressure (882 mb) ever recorded in the Atlantic basin.",$24.3,35,Wilma 2005,Hurricane,Wilma 2005
Hurricane Rita September 2005,2005,Hurricane,2005-09-20,2005-09-24,"Category 3 hurricane hits Texas-Louisiana border coastal region, creating significant storm surge and wind damage along the coast, and some inland flooding in the FL panhandle, AL, MS, LA, AR, and TX. Prior to landfall, Rita reached the third lowest pressure (897 mb) ever recorded in the Atlantic basin.",$23.7,119,Rita 2005,Hurricane,Rita 2005
Midwest Drought Spring-Summer 2005,2005,Drought,2005-03-01,2005-08-31,"Rather severe localized drought causes significant crop losses (especially for corn and soybeans) in the states of AR, IL, IN, MO, OH, and WI.",$1.9,0,Drought 2005,Other,Drought 2005
Hurricane Katrina August 2005,2005,Hurricane,2005-08-25,2005-08-30,"Category 3 hurricane initially impacts the U.S. as a Category 1 near Miami, FL, then as a strong Category 3 along the eastern LA-western MS coastlines, resulting in severe storm surge damage (maximum surge probably exceeded 30 feet) along the LA-MS-AL coasts, wind damage, and the failure of parts of the levee system in New Orleans. Inland effects included high winds and some flooding in the states of AL, MS, FL, TN, KY, IN, OH, and GA.",$160.0,1833,Katrina 2005,Hurricane,Katrina 2005
Hurricane Dennis July 2005,2005,Hurricane,2005-07-09,2005-07-11,"Category 3 hurricane makes landfall in western Florida panhandle resulting in storm surge and wind damage along the FL and AL coasts, along with scattered wind and flood damage in GA and MS.",$3.2,15,Dennis 2005,Hurricane,Dennis 2005
Hurricane Jeanne September 2004,2004,Hurricane,2004-09-15,2004-09-29,"Category 3 hurricane makes landfall in east-central Florida, causing considerable wind, storm surge, and flooding damage in FL, with some flood damage also in the states of GA, SC, NC, VA, MD, DE, NJ, PA, and NY. Puerto Rico also affected.",$9.9,28,Jeanne 2004,Hurricane,Jeanne 2004
Hurricane Ivan September 2004,2004,Hurricane,2004-09-12,2004-09-21,"Category 3 hurricane makes landfall on Gulf coast of Alabama, with significant wind, storm surge, and flooding damage in coastal AL and FL panhandle, along with wind/flood damage in the states of GA, MS, LA, SC, NC, VA, WV, MD, TN, KY, OH, DE, NJ, PA, and NY.",$27.1,57,Ivan 2004,Hurricane,Ivan 2004
Hurricane Frances September 2004,2004,Hurricane,2004-09-03,2004-09-09,"Category 2 hurricane makes landfall in east-central Florida, causing significant wind, storm surge, and flooding damage in FL, along with considerable flood damage in the states of GA, SC, NC, and NY due to 5-15 inch rains.",$12.9,48,Frances 2004,Hurricane,Frances 2004
Hurricane Charley August 2004,2004,Hurricane,2004-08-13,2004-08-14,"Category 4 hurricane makes landfall in southwest Florida, resulting in major wind and some storm surge damage in FL, along with some damage in the states of SC and NC.",$21.1,35,Charley 2004,Hurricane,Charley 2004
"Severe Storms, Hail, Tornadoes May 2004",2004,Severe Weather,2004-05-21,2004-05-27,"Severe storms including tornadoes and hail cause damage across the Midwest, South, Southeast and Northeast regions. The states impacted include IA, IL, IN, KY, MI, MO, NC, NE, NY, OK, OH and WI.",$1.3,4,Severe Weather 2004,Other,Severe Weather 2004
California Wildfires Fall 2003,2003,Wildfires,2003-09-01,2003-11-30,"Dry weather, high winds, and resulting wildfires in Southern California burned over 3,700 homes. Nearly 4.0 million acres burned across numerous western states including Alaska.",$5.3,22,Wildfires 2003,Other,Wildfires 2003
Western/ Central Drought/ Heatwave Spring-Fall 2003,2003,Drought,2003-03-01,2003-11-30,"2003 drought across western and central portions of the U.S. with losses to agriculture. The states impacted include AZ, CO, IA, ID, IL, KS, MI, MN, MO, MT, ND, NE, NM, OR, SD, WA and WI.",$6.7,35,Drought 2003,Other,Drought 2003
Hurricane Isabel September 2003,2003,Hurricane,2003-09-18,2003-09-19,"Category 2 hurricane makes landfall in eastern North Carolina, causing considerable storm surge damage along the coasts of NC, VA, and MD, with wind damage and some flooding due to 4-12 inch rains in NC, VA, MD, DE, WV, NJ, NY, and PA.",$7.4,55,Isabel 2003,Hurricane,Isabel 2003
Severe Weather July 2003,2003,Severe Weather,2003-07-21,2003-07-23,"Severe storms impact states across the South, Southeast, Midwest and Northeast regions. The states most impacted include AR, AL, MS, GA, FL, SC, TN, KY, MI, NY, OH, PA and VT.",$1.4,7,Severe Weather 2003,Other,Severe Weather 2003 3
Midwest/ Plains Severe Weather July 2003,2003,Severe Weather,2003-07-04,2003-07-09,"Severe storms affect the states IA, IL, IN, MI, MN, OH, VA, WV across the Midwest and Plains.",$1.2,7,Severe Weather 2003,Other,Severe Weather 2003 4
Severe Storms/ Tornadoes May 2003,2003,Severe Weather,2003-05-03,2003-05-10,"Numerous tornadoes over the midwest, Mississippi valley, OH/TN valleys, and portions of the southeast, with a modern record one-week total of approximately 400 tornadoes reported",$5.6,51,Severe Weather 2003,Other,Severe Weather 2003
Severe Storms/ Hail April 2003,2003,Severe Weather,2003-04-04,2003-04-07,"Severe storms and large hail over the southern plains and lower MS valley, with Texas hardest hit, and much of the monetary losses due to hail.",$2.7,3,Severe Weather 2003,Other,Severe Weather 2003 2
Western Fire Season Fall 2002,2002,Wildfires,2002-09-01,2002-11-30,"Major wildfires over 11 western states from the Rockies to the west coast due to drought and periodic high winds, with over 7.1 million acres burned.",$1.8,21,Wildfires 2002,Other,Wildfires 2002
U.S. Drought Spring-Fall 2002,2002,Drought,2002-03-01,2002-11-30,"Moderate to extreme drought over large portions of 30 states, including the western states, the Great Plains, and much of the eastern U.S.",$12.4,0,Drought 2002,Other,Drought 2002
Hurricane Lili October 2002,2002,Hurricane,2002-08-01,2002-08-05,"Category 1 hurricane makes landfall in Louisiana after causing damage across Saint Lucia, Jamaica, Haiti and Cuba.",$1.5,2,Lili 2002,Hurricane,Lili 2002
Severe Storms and Tornadoes April 2002,2002,Severe Weather,2002-04-27,2002-04-28,"Numerous tornadoes and widespread hail damage over the Central and Eastern states including NC, GA, VA, TX, AR, MO, MS, TN, IL, IN, KY, PA, MD, NY, OH, WV, and KS.",$2.9,7,Severe Weather 2002,Other,Severe Weather 2002
Tropical Storm Allison June 2001,2001,Tropical Storm,2001-06-05,2001-06-17,"The persistent remnants of Tropical Storm Allison produce rainfall amounts of 30-40 inches in portions of coastal Texas and Louisiana, causing severe flooding especially in the Houston area, then moves slowly northeastward; fatalities and significant damage reported in TX, LA, MS, FL, VA, and PA",$11.9,43,Tropical Storm 2001,Other,Tropical Storm 2001
Midwest/ Ohio Valley Hail and Tornadoes April 2001,2001,Hail Storm,2001-04-06,2001-04-11,"Storms, tornadoes, and hail in the states of TX, OK, KS, NE, IA, MO, IL, IN, WI, MI, OH, KY, WV, and PA, over a 6-day period.",$4.3,3,Hail Storm 2001,Other,Hail Storm 2001
Western/ Central/ Southeast Drought/ Heatwave Spring-Fall 2000,2000,Drought,2000-03-01,2000-11-30,"Western/Central/Southeast Drought/Heatwave. The states impacted include AZ, AL, AR, CA, CO, FL, GA, IA, KS, LA, MS, MT, NE, NM, OK, OR, SC, TN, and TX.",$7.2,140,Drought 2000,Other,Drought 2000
Western Fire Season Spring-Summer 2000,2000,Wildfires,2000-03-01,2000-08-31,"Severe wildfire season in the western states due to drought and frequent winds, with nearly 7 million acres burned.",$1.6,0,Wildfires 2000,Other,Wildfires 2000
Hurricane Floyd September 1999,1999,Hurricane,1999-09-14,1999-09-16,"Large, category 2 hurricane makes landfall in eastern NC, causing 10-20 inch rains in 2 days, with severe flooding in NC and some flooding in SC, VA, MD, PA, NY, NJ, DE, RI, CT, MA, NH, and VT.",$9.7,77,Floyd 1999,Hurricane,Floyd 1999
Eastern Drought/ Heatwave Summer 1999,1999,Drought,1999-06-01,1999-08-31,"Very dry summer and high temperatures, mainly in eastern U.S., with extensive agricultural losses. The states impacted include AL, AR, FL, GA, KY, LA, MD, MS, NC, NJ, OH, SC, TN, VA, WV and PA.",$3.7,502,Drought 1999,Other,Drought 1999
Oklahoma and Kansas Tornadoes May 1999,1999,Tornadoes,1999-05-03,1999-05-06,"Outbreak of F4-F5 tornadoes hit the states of Oklahoma and Kansas, along with Texas and Tennessee, Oklahoma City area hardest hit.",$3.0,55,Tornadoes 1999,Other,Tornadoes 1999
Central and Eastern Winter Storm Mid-January 1999,1999,Winter Storm,1999-01-13,1999-01-16,"Winter storm affecting the Central and Eastern states including IL, IN, OH, MI, WV, VA, MD, PA, NJ, NY, MA, CT, VT, NH and ME.",$1.3,0,Winter Storm 1999,Other,Winter Storm 1999 2
Central and Eastern Winter Storm January 1999,1999,Winter Storm,1999-01-01,1999-01-04,"South, Southeast, Midwest, Northeast affected by damaging winter storm",$1.5,25,Winter Storm 1999,Other,Winter Storm 1999
California Freeze December 1998,1998,Freeze,1998-12-20,1998-12-28,A severe freeze damaged fruit and vegetable crops in the Central and Southern San Joaquin Valley. Extended intervals of sub 27° F temperatures occurred over an 8-day period.,$3.8,0,Freeze 1998,Other,Freeze 1998
Texas Flooding October 1998,1998,Flooding,1998-10-16,1998-10-24,"Severe flooding in southeast Texas from 2 heavy rain events, with 10-20 inch rainfall totals",$1.4,31,Flooding 1998,Other,Flooding 1998
Hurricane Georges September 1998,1998,Hurricane,1998-09-20,1998-09-29,"Category 2 hurricane strikes Puerto Rico, Virgin Islands, Florida Keys, and Gulf coasts of Louisiana, Mississippi, Alabama, and Florida panhandle, 15-30 inch 2-day rain totals in parts of Alabama and Florida",$9.1,16,Georges 1998,Hurricane,Georges 1998
Southern Drought/ Heat Wave Summer 1998,1998,Drought,1998-06-01,1998-08-31,"Severe drought and heat wave from Texas/Oklahoma eastward to the Carolinas. The states impacted include AL, AR, FL, GA, LA, MS, NC, OK, SC, TN, TX, and VA.",$5.4,200,Drought 1998,Other,Drought 1998
Hurricane Bonnie August 1998,1998,Hurricane,1998-08-27,1998-08-29,"Category 3 hurricane strikes eastern North Carolina and Virginia, extensive agricultural damage due to winds and flooding, with 10-inch rains in 2 days in some locations.",$1.5,3,Bonnie 1998,Hurricane,Bonnie 1998
"Severe Storms, Tornadoes June 1998",1998,Severe Weather,1998-05-30,1998-06-02,"Severe storms in late May through early June hit the Midwest, North, Northeast, and Southeast",$1.7,20,Severe Weather 1998,Other,Severe Weather 1998 2
Minnesota Severe Storms/ Hail May 1998,1998,Severe Weather,1998-05-15,1998-05-15,Very damaging severe thunderstorms with large hail over wide areas of Minnesota,$2.5,1,Severe Weather 1998,Other,Severe Weather 1998
Western/ Eastern Severe Weather and Flooding Winter-Spring 1998,1998,Winter Storm,1997-12-01,1998-02-28,"Tornadoes and flooding cause damage across the West and Southeast. The states impacted include CA, TX, FL, AL, GA, LA, MS, NC and SC.",$1.5,132,Winter Storm 1998,Other,Winter Storm 1998 2
Northeast Ice Storm January 1998,1998,Winter Storm,1998-01-05,1998-01-09,"Intense ice storm hits Maine, New Hampshire, Vermont, and New York, with extensive forestry losses",$2.1,16,Winter Storm 1998,Other,Winter Storm 1998
Northern Plains Flooding Spring 1997,1997,Flooding,1997-02-03,1997-05-24,"Severe flooding in North Dakota, South Dakota and Minnesota due to heavy spring snow melt. This flooding caused widespread damage to agriculture, infrastructure, homes and businesses.",$5.7,11,Flooding 1997,Other,Flooding 1997
Mississippi and Ohio Valley Severe Weather and Flooding March 1997,1997,Flooding,1997-02-28,1997-03-05,"Tornadoes and severe flooding hit the states of AR, MO, MS, TN, IL, IN, KY, OH, and WV, with over 10 inches of rain in 24 hours in Louisville.",$1.5,67,Flooding 1997,Other,Flooding 1997 3
West Coast Flooding December 1996-January 1997,1997,Flooding,1997-01-01,1997-01-11,"Torrential rains (10-40 inches in 2 weeks) and snowmelt produce severe flooding over portions of CA, WA, OR, ID, NV, and MT.",$4.6,36,Flooding 1997,Other,Flooding 1997 2
Hurricane Fran September 1996,1996,Hurricane,1996-09-05,1996-09-08,"Category 3 hurricane strikes North Carolina and Virginia, over 10-inch 24-hour rains in some locations and extensive agricultural and other losses.",$8.0,37,Fran 1996,Hurricane,Fran 1996
Southern Plains Drought Spring-Summer 1996,1996,Drought,1996-03-01,1996-08-31,Severe drought in agricultural regions of southern plains--Texas and Oklahoma most severely affected,$2.8,0,Drought 1996,Other,Drought 1996
Pacific Northwest Severe Flooding February 1996,1996,Flooding,1996-02-07,1996-02-12,"Very heavy, persistent rains (10-30 inches) and melting snow over OR, WA, ID, and western MT.",$1.6,9,Flooding 1996,Other,Flooding 1996 2
Blizzard/ Floods January 1996,1996,Flooding,1996-01-01,1996-01-31,"Very heavy snowstorm (1-4 feet) over Appalachians, Mid-Atlantic, and Northeast; followed by severe flooding in parts of same area due to rain and snowmelt.",$4.8,187,Flooding 1996,Other,Flooding 1996
Hurricane Opal October 1995,1995,Hurricane,1995-10-04,1995-10-06,"Category 3 hurricane strikes Florida panhandle, Alabama, western Georgia, eastern Tennessee, and the western Carolinas, causing storm surge, wind, and flooding damage.",$7.6,27,Opal 1995,Hurricane,Opal 1995
Hurricane Marilyn September 1995,1995,Hurricane,1995-09-15,1995-09-17,Category 2 hurricane impacts the U.S. Virgin Islands and Puerto Rico with maximum sustained winds of 110 mph.,$3.4,13,Marilyn 1995,Hurricane,Marilyn 1995
South Plains Severe Weather May 1995,1995,Severe Weather,1995-05-05,1995-05-07,"Torrential rains, hail, and tornadoes across Texas-Oklahoma and southeast Louisiana-southern Mississippi, with Dallas and New Orleans areas (10-25 inch rains in 5 days) hardest hit.",$8.9,32,Severe Weather 1995,Other,Severe Weather 1995
California Flooding January-March 1995,1995,Flooding,1995-01-01,1995-03-31,Frequent winter storms cause 20-70 inch rainfall and periodic flooding across much of California,$4.1,27,Flooding 1995,Other,Flooding 1995
Western Fire Season Summer-Fall 1994,1994,Wildfires,1994-06-01,1994-11-30,"Severe wildfire season in the western states due to dry weather conditions. The states most impacted include CA, AZ, OR, WA, CO, UT, NV, NM and TX.",$1.2,0,Wildfires 1994,Other,Wildfires 1994
Texas Flooding October 1994,1994,Flooding,1994-10-16,1994-10-25,Torrential rain (10-25 inches in 5 days) and thunderstorms cause flooding across much of southeast Texas,$1.7,19,Flooding 1994,Other,Flooding 1994
Tropical Storm Alberto July 1994,1994,Tropical Storm,1994-07-07,1994-07-10,"Remnants of slow-moving Alberto bring torrential 10-25 inch rains in 3 days, widespread flooding and agricultural damage in parts of Georgia, Alabama, and panhandle of Florida.",$1.7,32,Tropical Storm 1994,Other,Tropical Storm 1994
