id,session,tempdta,temp,crt,mathreported,mathcorrect,mathmistakes,wordstotalreported,wordstotalcorrect,wordsmistakes,repeats,word2,word3,word4,word5,word6,word7,word8,word9,word score,male,gender,age,majorecon,nativegerman,enjoymath,enjoywords,strongme,temp category,cool,normal,warm,hot,month
12,1,19.100000381,19.1,3,11,5,6,8,6,2,0,0,0,2,3,1,0,0,0,86,1,M,24,1,1,10,10,7,cool,1,0,0,0,9
13,1,19.100000381,19.1,3,20,17,3,23,22,0,1,1,4,8,6,3,0,0,0,260,1,M,21,1,1,8,6,8,cool,1,0,0,0,9
14,1,19.100000381,19.1,3,19,16,3,31,31,0,0,5,12,10,3,1,0,0,0,253,1,M,20,1,1,6,6,6,cool,1,0,0,0,9
15,1,19.100000381,19.1,3,9,7,2,26,25,1,0,3,7,8,4,3,0,0,0,254,0,F,19,0,1,1,8,9,cool,1,0,0,0,9
16,1,19.100000381,19.1,2,6,6,0,20,17,3,0,1,7,9,0,0,0,0,0,135,1,M,30,1,1,7,8,7,cool,1,0,0,0,9
17,1,19.100000381,19.1,3,11,10,1,12,10,2,0,0,3,4,2,1,0,0,0,109,0,F,23,0,0,10,10,8,cool,1,0,0,0,9
18,1,19.100000381,19.1,2,19,12,7,13,13,0,0,0,1,4,6,1,1,0,0,185,1,M,26,1,1,7,9,7,cool,1,0,0,0,9
19,1,19.100000381,19.1,3,12,7,5,16,15,1,0,1,6,4,3,1,0,0,0,145,1,M,20,1,1,10,10,8,cool,1,0,0,0,9
20,1,19.100000381,19.1,2,12,12,0,11,11,0,0,0,5,5,1,0,0,0,0,95,1,M,22,0,1,1,5,1,cool,1,0,0,0,9
21,2,19.350000381,19.35,2,2,1,1,25,25,0,0,3,8,7,4,3,0,0,0,250,1,M,21,0,1,1,10,6,cool,1,0,0,0,9
22,2,19.350000381,19.35,1,19,18,1,40,39,1,0,5,9,16,8,1,0,0,0,370,0,F,22,0,1,8,8,8,cool,1,0,0,0,9
23,2,19.350000381,19.35,3,21,20,1,21,19,2,0,2,7,5,2,2,0,1,0,206,1,M,18,0,1,10,10,10,cool,1,0,0,0,9
24,2,19.350000381,19.35,2,18,10,8,11,11,0,0,0,1,4,4,2,0,0,0,148,0,F,19,0,1,8,3,10,cool,1,0,0,0,9
25,2,19.350000381,19.35,3,12,6,6,31,31,0,0,1,10,10,8,2,0,0,0,325,0,F,23,1,1,2,8,7,cool,1,0,0,0,9
26,2,19.350000381,19.35,3,9,7,2,23,22,1,0,0,5,7,6,4,0,0,0,274,0,F,21,1,1,7,10,7,cool,1,0,0,0,9
27,2,19.350000381,19.35,3,15,12,3,22,22,0,0,2,9,6,4,1,0,0,0,201,1,M,19,1,1,5,5,6,cool,1,0,0,0,9
28,2,19.350000381,19.35,1,11,8,3,23,23,0,0,3,9,7,4,0,0,0,0,193,0,F,25,0,1,3,4,5,cool,1,0,0,0,9
29,2,19.350000381,19.35,3,16,14,2,32,32,0,0,1,7,13,9,2,0,0,0,352,1,M,24,0,0,1,4,4,cool,1,0,0,0,9
30,2,19.350000381,19.35,2,11,10,1,14,14,0,0,1,10,3,0,0,0,0,0,93,1,M,39,0,1,2,5,9,cool,1,0,0,0,9
31,2,19.350000381,19.35,1,12,10,2,18,16,2,0,1,3,8,1,3,0,0,0,179,0,F,24,1,1,1,3,9,cool,1,0,0,0,9
32,2,19.350000381,19.35,2,18,15,3,,,,,,,,,,,,,,1,M,28,,0,6,,7,cool,1,0,0,0,9
33,2,19.350000381,19.35,1,5,5,0,10,10,0,0,0,4,3,1,1,0,0,1,135,0,F,20,1,1,9,8,10,cool,1,0,0,0,9
34,2,19.350000381,19.35,3,13,13,0,14,14,0,0,0,5,4,5,0,0,0,0,145,1,M,27,0,1,8,8,7,cool,1,0,0,0,9
35,2,19.350000381,19.35,3,15,14,1,34,29,5,0,2,8,10,3,5,1,0,0,332,1,M,29,0,1,10,9,7,cool,1,0,0,0,9
36,2,19.350000381,19.35,3,11,3,8,12,12,0,0,0,1,4,3,3,1,0,0,182,0,F,20,1,1,8,5,8,cool,1,0,0,0,9
37,2,19.350000381,19.35,2,16,14,2,30,25,5,0,2,10,6,4,2,1,0,0,256,1,M,28,1,1,6,6,7,cool,1,0,0,0,9
38,2,19.350000381,19.35,3,9,6,3,16,15,1,0,0,5,8,1,1,0,0,0,146,1,M,25,0,1,7,3,7,cool,1,0,0,0,9
39,2,19.350000381,19.35,2,8,6,2,31,31,0,0,3,7,11,6,4,0,0,0,335,1,M,23,0,1,4,10,8,cool,1,0,0,0,9
40,2,19.350000381,19.35,3,13,11,2,27,22,5,0,1,5,10,4,1,1,0,0,242,1,M,26,0,1,10,10,10,cool,1,0,0,0,9
41,2,19.350000381,19.35,2,13,12,1,21,21,0,0,0,0,4,14,3,0,0,0,313,1,M,25,0,1,5,5,8,cool,1,0,0,0,9
42,2,19.350000381,19.35,3,3,2,1,12,12,0,0,0,2,8,2,0,0,0,0,122,0,F,20,0,1,2,5,7,cool,1,0,0,0,9
43,2,19.350000381,19.35,3,21,21,0,21,21,0,0,3,6,7,2,3,0,0,0,208,1,M,22,1,0,9,7,10,cool,1,0,0,0,9
44,2,19.350000381,19.35,3,15,13,2,21,17,4,0,0,2,6,7,2,0,0,0,219,1,M,26,1,1,8,7,9,cool,1,0,0,0,9
45,3,19.100000381,19.1,0,14,8,6,16,15,1,0,0,2,8,4,1,0,0,0,173,0,F,27,0,1,1,3,8,cool,1,0,0,0,9
46,3,19.100000381,19.1,3,9,5,4,17,17,0,0,0,6,7,1,2,0,1,0,199,0,F,24,0,0,4,8,7,cool,1,0,0,0,9
47,3,19.100000381,19.1,0,7,7,0,11,11,0,0,0,1,6,4,0,0,0,0,126,1,M,29,0,1,3,5,8,cool,1,0,0,0,9
48,3,19.100000381,19.1,3,22,21,1,23,20,3,0,0,3,8,5,2,2,0,0,271,1,M,26,0,1,9,6,10,cool,1,0,0,0,9
49,3,19.100000381,19.1,3,18,14,4,25,25,0,0,3,10,11,0,1,0,0,0,200,1,M,28,0,1,8,3,7,cool,1,0,0,0,9
50,3,19.100000381,19.1,3,8,5,3,30,25,5,0,0,6,11,8,0,0,0,0,266,1,M,22,0,1,4,9,2,cool,1,0,0,0,9
51,3,19.100000381,19.1,1,19,18,1,23,23,0,0,2,11,6,3,1,0,0,0,198,1,M,32,0,1,10,8,9,cool,1,0,0,0,9
52,3,19.100000381,19.1,3,13,10,3,24,22,2,0,0,7,7,7,1,0,0,0,238,0,F,21,0,1,6,10,5,cool,1,0,0,0,9
53,3,19.100000381,19.1,0,4,3,1,18,18,0,0,2,5,5,4,2,0,0,0,188,1,M,25,0,0,6,9,,cool,1,0,0,0,9
54,3,19.100000381,19.1,3,15,15,0,17,17,0,0,1,3,7,5,1,0,0,0,187,1,M,23,1,1,8,7,8,cool,1,0,0,0,9
55,3,19.100000381,19.1,3,17,14,3,27,25,2,0,1,2,6,9,5,1,1,0,379,1,M,22,1,1,8,9,8,cool,1,0,0,0,9
56,3,19.100000381,19.1,3,10,7,3,19,18,1,0,2,3,8,4,1,0,0,0,185,1,M,25,1,1,5,7,4,cool,1,0,0,0,9
57,3,19.100000381,19.1,2,16,12,4,55,49,5,1,0,10,18,14,7,0,0,0,597,1,M,28,0,0,7,9,8,cool,1,0,0,0,9
58,3,19.100000381,19.1,2,9,7,2,22,21,1,0,3,10,4,3,1,0,0,0,175,1,M,22,0,1,2,3,7,cool,1,0,0,0,9
59,3,19.100000381,19.1,3,8,6,2,22,20,1,1,1,7,7,5,0,0,0,0,190,0,F,27,0,1,7,8,8,cool,1,0,0,0,9
60,3,19.100000381,19.1,3,18,15,3,29,29,0,0,6,8,9,3,3,0,0,0,264,1,M,27,1,1,10,10,10,cool,1,0,0,0,9
61,3,19.100000381,19.1,1,7,7,0,22,22,0,0,1,5,16,0,0,0,0,0,193,0,F,20,1,1,5,5,5,cool,1,0,0,0,9
62,3,19.100000381,19.1,3,10,7,3,9,9,0,0,2,0,4,3,0,0,0,0,91,,.,,,,,,5,cool,1,0,0,0,9
63,3,19.100000381,19.1,1,17,11,6,10,10,0,0,0,1,5,2,2,0,0,0,128,0,F,22,0,0,3,7,8,cool,1,0,0,0,9
64,3,19.100000381,19.1,3,18,15,3,21,21,0,0,0,3,12,5,1,0,0,0,234,0,F,27,1,1,9,8,7,cool,1,0,0,0,9
65,3,19.100000381,19.1,3,13,11,2,14,14,0,0,0,1,7,3,3,0,0,0,184,1,M,22,1,1,10,10,9,cool,1,0,0,0,9
66,3,19.100000381,19.1,3,12,9,3,26,24,2,0,1,10,7,5,0,1,0,0,236,1,M,27,0,1,7,8,7,cool,1,0,0,0,9
67,4,20.25,20.25,2,15,15,0,22,22,0,0,2,6,8,1,4,1,0,0,249,1,M,27,0,1,10,4,8,normal,0,1,0,0,9
68,4,20.25,20.25,3,13,12,1,12,11,1,0,1,3,2,4,1,0,0,0,122,1,M,21,0,0,1,8,4,normal,0,1,0,0,9
69,4,20.25,20.25,3,24,20,4,15,15,0,0,0,6,4,4,1,0,0,0,157,1,M,33,0,1,10,8,6,normal,0,1,0,0,9
