date,time,done,Day of Week
2018-08-26,57:09,1,Sun
2018-08-27,12:46,1,Mon
2018-08-28,11:52,1,Tue
2018-08-29,18:24,1,Wed
2018-08-30,21:51,1,Thu
2018-08-31,31:33,0,Fri
2018-09-01,2:14,0,Sat
2018-09-02,0:00,0,Sun
2018-09-03,10:10,1,Mon
2018-09-04,8:33,1,Tue
2018-09-05,21:05,1,Wed
2018-09-06,28:35,1,Thu
2018-09-07,19:17,0,Fri
2018-09-08,5:50,0,Sat
2018-09-09,41:17,1,Sun
2018-09-10,9:23,1,Mon
2018-09-11,17:18,0,Tue
2018-09-12,29:15,1,Wed
2018-09-13,23:45,1,Thu
2018-09-14,23:09,1,Fri
2018-09-15,23:47,1,Sat
2018-09-16,55:34,1,Sun
2018-09-17,6:19,1,Mon
2018-09-18,13:10,1,Tue
2018-09-19,17:21,1,Wed
2018-09-20,30:32,1,Thu
2018-09-21,32:13,1,Fri
2018-09-22,16:37,0,Sat
2018-09-23,80:22,1,Sun
2018-09-24,11:06,1,Mon
2018-09-25,10:27,1,Tue
2018-09-26,20:08,1,Wed
2018-09-27,17:12,1,Thu
2018-09-28,32:46,1,Fri
2018-09-29,32:51,1,Sat
2018-09-30,55:26,1,Sun
2018-10-01,15:07,1,Mon
2018-10-02,20:32,0,Tue
2018-10-03,14:18,1,Wed
2018-10-04,25:19,1,Thu
2018-10-05,25:47,1,Fri
2018-10-06,21:27,0,Sat
2018-10-07,48:29,1,Sun
2018-10-08,9:45,1,Mon
2018-10-09,11:16,1,Tue
2018-10-10,25:31,1,Wed
2018-10-11,33:25,0,Thu
2018-10-12,32:33,0,Fri
2018-10-13,3:27,0,Sat
2018-10-14,63:58,0,Sun
2018-10-15,8:17,1,Mon
2018-10-16,7:53,1,Tue
2018-10-17,14:47,1,Wed
2018-10-18,30:02,0,Thu
2018-10-19,29:14,0,Fri
2018-10-20,18:34,0,Sat
2018-10-21,57:14,1,Sun
2018-10-22,7:50,1,Mon
2018-10-23,18:26,0,Tue
2018-10-24,27:52,0,Wed
2018-10-25,23:04,0,Thu
2018-10-26,24:53,0,Fri
2018-10-27,18:30,0,Sat
2018-10-28,42:31,1,Sun
2018-10-29,10:44,1,Mon
2018-10-30,16:06,1,Tue
2018-10-31,15:18,1,Wed
2018-11-01,35:18,0,Thu
2018-11-02,32:22,0,Fri
2018-11-03,4:53,0,Sat
2018-11-04,41:36,1,Sun
2018-11-05,11:13,1,Mon
2018-11-06,11:58,1,Tue
2018-11-07,20:36,0,Wed
2018-11-08,28:28,0,Thu
2018-11-09,18:57,1,Fri
2018-11-10,9:59,0,Sat
2018-11-11,53:53,1,Sun
2018-11-12,13:40,0,Mon
2018-11-13,17:09,1,Tue
2018-11-14,13:33,1,Wed
2018-11-15,21:56,1,Thu
2018-11-16,17:39,1,Fri
2018-11-17,38:52,1,Sat
2018-11-18,45:25,1,Sun
2018-11-19,12:09,1,Mon
2018-11-20,9:12,1,Tue
2018-11-21,20:35,1,Wed
2018-11-22,20:39,1,Thu
2018-11-23,30:02,1,Fri
2018-11-24,32:42,1,Sat
2018-11-25,60:11,1,Sun
2018-11-26,10:18,1,Mon
2018-11-27,10:07,1,Tue
2018-11-28,32:55,1,Wed
2018-11-29,38:41,1,Thu
2018-11-30,22:41,1,Fri
2018-12-01,34:34,1,Sat
2018-12-02,52:23,1,Sun
2018-12-03,9:00,1,Mon
2018-12-04,11:16,1,Tue
2018-12-05,25:33,0,Wed
2018-12-06,18:13,1,Thu
2018-12-07,32:42,1,Fri
2018-12-08,30:40,1,Sat
2018-12-09,48:09,1,Sun
2018-12-10,8:09,1,Mon
2018-12-11,14:32,0,Tue
2018-12-12,26:15,0,Wed
2018-12-13,18:44,0,Thu
2018-12-14,26:44,1,Fri
2018-12-15,32:48,1,Sat
2018-12-16,71:11,1,Sun
2018-12-17,10:25,1,Mon
2018-12-18,12:38,1,Tue
2018-12-19,15:14,1,Wed
2018-12-20,24:07,1,Thu
2018-12-21,41:41,1,Fri
2018-12-22,34:26,0,Sat
2018-12-23,61:32,1,Sun
2018-12-24,10:02,1,Mon
2018-12-25,19:48,1,Tue
2018-12-26,11:33,1,Wed
2018-12-27,34:03,1,Thu
